# file...... ../results/ochre_load_3.csv
# date...... Thu Mar 12 02:00:18 2026
# user...... deras
# host...... (null)
# target.... triplex_load 23
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,constant_power_12
2025-01-01 00:00:00 PST,+0+0j
2025-01-01 00:01:00 PST,+0+0j
2025-01-01 00:02:00 PST,+1349.51+0j
2025-01-01 00:03:00 PST,+1350.15+0j
2025-01-01 00:04:00 PST,+1350.78+0j
2025-01-01 00:05:00 PST,+1351.38+0j
2025-01-01 00:06:00 PST,+1351.97+0j
2025-01-01 00:07:00 PST,+1352.54+0j
2025-01-01 00:08:00 PST,+1353.1+0j
2025-01-01 00:09:00 PST,+1353.64+0j
2025-01-01 00:10:00 PST,+1354.16+0j
2025-01-01 00:11:00 PST,+1354.67+0j
2025-01-01 00:12:00 PST,+1355.17+0j
2025-01-01 00:13:00 PST,+1355.66+0j
2025-01-01 00:14:00 PST,+1356.13+0j
2025-01-01 00:15:00 PST,+1356.59+0j
2025-01-01 00:16:00 PST,+1357.04+0j
2025-01-01 00:17:00 PST,+1357.48+0j
2025-01-01 00:18:00 PST,+1357.89+0j
2025-01-01 00:19:00 PST,+1358.29+0j
2025-01-01 00:20:00 PST,+1358.69+0j
2025-01-01 00:21:00 PST,+1359.07+0j
2025-01-01 00:22:00 PST,+1359.45+0j
2025-01-01 00:23:00 PST,+1359.81+0j
2025-01-01 00:24:00 PST,+1360.17+0j
2025-01-01 00:25:00 PST,+1360.52+0j
2025-01-01 00:26:00 PST,+1360.87+0j
2025-01-01 00:27:00 PST,+1361.2+0j
2025-01-01 00:28:00 PST,+1361.53+0j
2025-01-01 00:29:00 PST,+1361.85+0j
2025-01-01 00:30:00 PST,+1362.17+0j
2025-01-01 00:31:00 PST,+1362.47+0j
2025-01-01 00:32:00 PST,+1362.78+0j
2025-01-01 00:33:00 PST,+1363.07+0j
2025-01-01 00:34:00 PST,+1363.36+0j
2025-01-01 00:35:00 PST,+1363.65+0j
2025-01-01 00:36:00 PST,+1363.93+0j
2025-01-01 00:37:00 PST,+1364.2+0j
2025-01-01 00:38:00 PST,+1364.47+0j
2025-01-01 00:39:00 PST,+1364.73+0j
2025-01-01 00:40:00 PST,+1364.99+0j
2025-01-01 00:41:00 PST,+1365.25+0j
2025-01-01 00:42:00 PST,+1365.5+0j
2025-01-01 00:43:00 PST,+1365.74+0j
2025-01-01 00:44:00 PST,+1365.98+0j
2025-01-01 00:45:00 PST,+1366.22+0j
2025-01-01 00:46:00 PST,+1366.45+0j
2025-01-01 00:47:00 PST,+1366.68+0j
2025-01-01 00:48:00 PST,+1366.91+0j
2025-01-01 00:49:00 PST,+1367.13+0j
2025-01-01 00:50:00 PST,+1367.35+0j
2025-01-01 00:51:00 PST,+1367.56+0j
2025-01-01 00:52:00 PST,+1367.77+0j
2025-01-01 00:53:00 PST,+1367.98+0j
2025-01-01 00:54:00 PST,+1368.19+0j
2025-01-01 00:55:00 PST,+1368.39+0j
2025-01-01 00:56:00 PST,+1368.59+0j
2025-01-01 00:57:00 PST,+1368.78+0j
2025-01-01 00:58:00 PST,+1368.98+0j
2025-01-01 00:59:00 PST,+1369.17+0j
2025-01-01 01:00:00 PST,+1369.36+0j
2025-01-01 01:01:00 PST,+0+0j
2025-01-01 01:02:00 PST,+0+0j
2025-01-01 01:03:00 PST,+0+0j
2025-01-01 01:04:00 PST,+0+0j
2025-01-01 01:05:00 PST,+0+0j
2025-01-01 01:06:00 PST,+0+0j
2025-01-01 01:07:00 PST,+0+0j
2025-01-01 01:08:00 PST,+0+0j
2025-01-01 01:09:00 PST,+0+0j
2025-01-01 01:10:00 PST,+0+0j
2025-01-01 01:11:00 PST,+0+0j
2025-01-01 01:12:00 PST,+0+0j
2025-01-01 01:13:00 PST,+0+0j
2025-01-01 01:14:00 PST,+0+0j
2025-01-01 01:15:00 PST,+0+0j
2025-01-01 01:16:00 PST,+0+0j
2025-01-01 01:17:00 PST,+0+0j
2025-01-01 01:18:00 PST,+0+0j
2025-01-01 01:19:00 PST,+0+0j
2025-01-01 01:20:00 PST,+0+0j
2025-01-01 01:21:00 PST,+0+0j
2025-01-01 01:22:00 PST,+0+0j
2025-01-01 01:23:00 PST,+0+0j
2025-01-01 01:24:00 PST,+0+0j
2025-01-01 01:25:00 PST,+0+0j
2025-01-01 01:26:00 PST,+0+0j
2025-01-01 01:27:00 PST,+0+0j
2025-01-01 01:28:00 PST,+0+0j
2025-01-01 01:29:00 PST,+0+0j
2025-01-01 01:30:00 PST,+0+0j
2025-01-01 01:31:00 PST,+0+0j
2025-01-01 01:32:00 PST,+0+0j
2025-01-01 01:33:00 PST,+1330.48+0j
2025-01-01 01:34:00 PST,+1331.64+0j
2025-01-01 01:35:00 PST,+1332.77+0j
2025-01-01 01:36:00 PST,+1333.86+0j
2025-01-01 01:37:00 PST,+1334.92+0j
2025-01-01 01:38:00 PST,+1335.95+0j
2025-01-01 01:39:00 PST,+1336.95+0j
2025-01-01 01:40:00 PST,+1337.93+0j
2025-01-01 01:41:00 PST,+1338.88+0j
2025-01-01 01:42:00 PST,+1339.8+0j
2025-01-01 01:43:00 PST,+1340.7+0j
2025-01-01 01:44:00 PST,+1341.57+0j
2025-01-01 01:45:00 PST,+1342.42+0j
2025-01-01 01:46:00 PST,+1343.25+0j
2025-01-01 01:47:00 PST,+1344.06+0j
2025-01-01 01:48:00 PST,+1344.85+0j
2025-01-01 01:49:00 PST,+1345.62+0j
2025-01-01 01:50:00 PST,+1346.37+0j
2025-01-01 01:51:00 PST,+1347.1+0j
2025-01-01 01:52:00 PST,+1347.82+0j
2025-01-01 01:53:00 PST,+1348.52+0j
2025-01-01 01:54:00 PST,+1349.2+0j
2025-01-01 01:55:00 PST,+1349.87+0j
2025-01-01 01:56:00 PST,+1350.52+0j
2025-01-01 01:57:00 PST,+1351.16+0j
2025-01-01 01:58:00 PST,+1351.78+0j
2025-01-01 01:59:00 PST,+1352.39+0j
2025-01-01 02:00:00 PST,+1352.99+0j
2025-01-01 02:01:00 PST,+1353.57+0j
2025-01-01 02:02:00 PST,+1354.14+0j
2025-01-01 02:03:00 PST,+1354.7+0j
2025-01-01 02:04:00 PST,+0+0j
2025-01-01 02:05:00 PST,+0+0j
2025-01-01 02:06:00 PST,+0+0j
2025-01-01 02:07:00 PST,+0+0j
2025-01-01 02:08:00 PST,+0+0j
2025-01-01 02:09:00 PST,+0+0j
2025-01-01 02:10:00 PST,+0+0j
2025-01-01 02:11:00 PST,+0+0j
2025-01-01 02:12:00 PST,+0+0j
2025-01-01 02:13:00 PST,+0+0j
2025-01-01 02:14:00 PST,+0+0j
2025-01-01 02:15:00 PST,+0+0j
2025-01-01 02:16:00 PST,+0+0j
2025-01-01 02:17:00 PST,+0+0j
2025-01-01 02:18:00 PST,+0+0j
2025-01-01 02:19:00 PST,+0+0j
2025-01-01 02:20:00 PST,+0+0j
2025-01-01 02:21:00 PST,+0+0j
2025-01-01 02:22:00 PST,+0+0j
2025-01-01 02:23:00 PST,+0+0j
2025-01-01 02:24:00 PST,+0+0j
2025-01-01 02:25:00 PST,+0+0j
2025-01-01 02:26:00 PST,+0+0j
2025-01-01 02:27:00 PST,+0+0j
