# file...... ../results/residential_transformer.csv
# date...... Thu Mar 12 02:00:18 2026
# user...... deras
# host...... (null)
# target.... transformer 18
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,power_in,power_out
2025-01-01 00:00:00 PST,+5.00741e-05+5.00741e-05j,+0+0j
2025-01-01 00:01:00 PST,+5.00741e-05+5.00741e-05j,+0+0j
2025-01-01 00:02:00 PST,+14026.3+236.184j,+13986.9+4.54747e-12j
2025-01-01 00:03:00 PST,+14029+236.277j,+13989.7+1.81899e-12j
2025-01-01 00:04:00 PST,+21755.7+568.993j,+21660.8+5.45697e-12j
2025-01-01 00:05:00 PST,+21758.3+569.129j,+21663.4+5.45697e-12j
2025-01-01 00:06:00 PST,+21760.8+569.262j,+21665.9-1.81899e-12j
2025-01-01 00:07:00 PST,+27189.2+889.686j,+27040.9+5.45697e-12j
2025-01-01 00:08:00 PST,+27191.6+889.845j,+27043.3-5.45697e-12j
2025-01-01 00:09:00 PST,+27194+889.998j,+27045.6+1.81899e-12j
2025-01-01 00:10:00 PST,+27196.3+890.149j,+27047.9-3.63798e-12j
2025-01-01 00:11:00 PST,+27198.5+890.295j,+27050.1+3.63798e-12j
2025-01-01 00:12:00 PST,+20378.1+499.085j,+20294.9-5.45697e-12j
2025-01-01 00:13:00 PST,+20850.2+522.524j,+20763.1+9.09495e-13j
2025-01-01 00:14:00 PST,+20850.6+522.547j,+20763.6+3.63798e-12j
2025-01-01 00:15:00 PST,+7207.26+62.2962j,+7196.87+0j
2025-01-01 00:16:00 PST,+7207.71+62.304j,+7197.32-4.54747e-13j
2025-01-01 00:17:00 PST,+7208.15+62.3116j,+7197.76-9.09495e-13j
2025-01-01 00:18:00 PST,+1826.26+3.99731j,+1825.59+9.06593e-05j
2025-01-01 00:19:00 PST,+1358.66+2.21227j,+1358.29+3.23723e-06j
2025-01-01 00:20:00 PST,+1359.06+2.21355j,+1358.69+1.18234e-11j
2025-01-01 00:21:00 PST,+1359.44+2.2148j,+1359.07+1.13687e-13j
2025-01-01 00:22:00 PST,+1359.82+2.21602j,+1359.45-2.27374e-13j
2025-01-01 00:23:00 PST,+1360.18+2.21722j,+1359.81-1.13687e-13j
2025-01-01 00:24:00 PST,+1360.54+2.21839j,+1360.17+2.27374e-13j
2025-01-01 00:25:00 PST,+1360.89+2.21887j,+1360.52-0.000662045j
2025-01-01 00:26:00 PST,+1361.24+2.22j,+1360.87-0.000647783j
2025-01-01 00:27:00 PST,+9046.06+98.164j,+9029.7-1.72804e-11j
2025-01-01 00:28:00 PST,+9951.68+118.816j,+9931.88-0.00247507j
2025-01-01 00:29:00 PST,+13203.9+209.273j,+13169-2.99224e-10j
2025-01-01 00:30:00 PST,+13207.3+209.379j,+13172.4+1.81899e-12j
2025-01-01 00:31:00 PST,+13210.5+209.481j,+13175.6+3.18323e-12j
2025-01-01 00:32:00 PST,+13213.6+209.581j,+13178.7+1.81899e-12j
2025-01-01 00:33:00 PST,+13686.8+224.875j,+13649.4-0.00337332j
2025-01-01 00:34:00 PST,+13689.7+224.973j,+13652.2-1.26861e-06j
2025-01-01 00:35:00 PST,+13692.5+225.066j,+13655-4.75666e-10j
2025-01-01 00:36:00 PST,+13695.3+225.156j,+13657.8-9.09495e-13j
2025-01-01 00:37:00 PST,+13697.9+225.243j,+13660.4-9.09495e-13j
