# file...... ../results/residential_transformer.csv
# date...... Sat Mar  7 01:31:26 2026
# user...... deras
# host...... (null)
# target.... transformer 18
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,power_in,power_out
2025-01-01 00:00:00 PST,+5.00741e-05+5.00741e-05j,+0+0j
2025-01-01 00:01:00 PST,+5.00741e-05+5.00741e-05j,+0+0j
2025-01-01 00:02:00 PST,+16934.2+344.433j,+16876.8+1.04592e-11j
2025-01-01 00:03:00 PST,+16936.9+344.546j,+16879.5+6.36646e-12j
2025-01-01 00:04:00 PST,+24672.7+732.231j,+24550.7+1.09139e-11j
2025-01-01 00:05:00 PST,+24675.3+732.386j,+24553.3+0j
2025-01-01 00:06:00 PST,+24677.9+732.537j,+24555.8-1.81899e-12j
2025-01-01 00:07:00 PST,+30112.8+1092.01j,+29930.8-0.000768333j
2025-01-01 00:08:00 PST,+30115.2+1092.18j,+29933.2-1.41662e-06j
2025-01-01 00:09:00 PST,+30117.5+1092.35j,+29935.5-2.61571e-09j
2025-01-01 00:10:00 PST,+35693.9+1536.34j,+35437.8-0.00186259j
2025-01-01 00:11:00 PST,+35696.1+1536.53j,+35440-4.84878e-06j
2025-01-01 00:12:00 PST,+28851.8+1002.19j,+28684.8+0.000784827j
2025-01-01 00:13:00 PST,+29325.6+1035.48j,+29153+2.39743e-09j
2025-01-01 00:14:00 PST,+34898.2+1468.32j,+34653.5-0.0016606j
2025-01-01 00:15:00 PST,+21176.7+539.052j,+21086.8+0.000332042j
2025-01-01 00:16:00 PST,+21177.1+539.074j,+21087.3+3.00521e-07j
2025-01-01 00:17:00 PST,+21079.2+534.091j,+20990.2+0.00256541j
2025-01-01 00:18:00 PST,+15667.1+294.755j,+15618+6.24823e-10j
2025-01-01 00:19:00 PST,+15196.9+277.311j,+15150.7+0.00459491j
2025-01-01 00:20:00 PST,+15197.3+277.32j,+15151.1+2.13192e-06j
2025-01-01 00:21:00 PST,+15197.7+277.335j,+15151.5+9.88621e-10j
2025-01-01 00:22:00 PST,+9670.49+112.194j,+9651.79+9.09495e-13j
2025-01-01 00:23:00 PST,+9670.85+112.202j,+9652.15-1.81899e-12j
2025-01-01 00:24:00 PST,+9671.21+112.211j,+9652.51-1.81899e-12j
2025-01-01 00:25:00 PST,+4156.25+20.7098j,+4152.8+0.00109665j
2025-01-01 00:26:00 PST,+4156.59+20.7101j,+4153.14-0.0019798j
2025-01-01 00:27:00 PST,+11850.1+168.522j,+11822-1.52795e-10j
2025-01-01 00:28:00 PST,+12756.7+195.318j,+12724.1-0.00522872j
2025-01-01 00:29:00 PST,+16012.6+307.917j,+15961.3-1.38516e-09j
2025-01-01 00:30:00 PST,+21557.8+558.669j,+21464.7+3.63798e-12j
2025-01-01 00:31:00 PST,+21561.1+558.838j,+21467.9+0j
2025-01-01 00:32:00 PST,+21485.5+554.921j,+21393+0.00209652j
2025-01-01 00:33:00 PST,+21960.3+579.769j,+21863.7+1.98816e-09j
2025-01-01 00:34:00 PST,+27518.5+911.43j,+27366.6+1.09139e-11j
2025-01-01 00:35:00 PST,+33089.4+1319.47j,+32869.5-0.00126812j
2025-01-01 00:36:00 PST,+33092.1+1319.7j,+32872.2-2.83054e-06j
2025-01-01 00:37:00 PST,+33094.8+1319.91j,+32874.8-6.31189e-09j
2025-01-01 00:38:00 PST,+24426.7+717.663j,+24307+0.000429476j
