date_time,Dry Bulb Temperature,Relative Humidity,Wind Speed,Wind Direction,Global Horizontal Radiation,Direct Normal Radiation,Diffuse Horizontal Radiation
1976-01-01 01:00:00,2.8,52,5.2,80,0,0,0
1976-01-01 02:00:00,2.2,55,2.6,90,0,0,0
1976-01-01 03:00:00,1.1,62,2.1,10,0,0,0
1976-01-01 04:00:00,2.2,50,4.1,60,0,0,0
1976-01-01 05:00:00,-1.1,82,0.0,0,0,0,0
1976-01-01 06:00:00,0.6,59,3.1,80,0,0,0
1976-01-01 07:00:00,0.0,64,2.6,50,0,0,0
1976-01-01 08:00:00,-1.1,78,3.1,310,3,4,2
1976-01-01 09:00:00,-1.7,92,3.1,270,47,222,28
1976-01-01 10:00:00,0.0,89,3.1,260,159,450,65
1976-01-01 11:00:00,1.7,79,2.6,310,261,582,86
1976-01-01 12:00:00,2.2,73,2.6,260,324,654,93
1976-01-01 13:00:00,3.9,62,3.6,310,336,683,89
1976-01-01 14:00:00,5.0,58,2.6,290,299,619,95
1976-01-01 15:00:00,4.4,55,3.1,330,209,521,77
1976-01-01 16:00:00,3.9,60,2.1,310,94,288,53
1976-01-01 17:00:00,2.2,52,3.6,160,16,33,13
1976-01-01 18:00:00,1.7,59,2.6,80,0,0,0
1976-01-01 19:00:00,0.6,59,1.5,100,0,0,0
1976-01-01 20:00:00,-1.1,69,1.0,200,0,0,0
1976-01-01 21:00:00,0.0,67,1.0,30,0,0,0
1976-01-01 22:00:00,-0.6,72,2.6,80,0,0,0
1976-01-01 23:00:00,-3.3,88,2.6,300,0,0,0
1976-01-02 00:00:00,-2.8,85,1.5,270,0,0,0
1976-01-02 01:00:00,-1.7,89,0.0,0,0,0,0
1976-01-02 02:00:00,-1.7,89,0.0,0,0,0,0
1976-01-02 03:00:00,-0.6,85,0.0,0,0,0,0
1976-01-02 04:00:00,-1.7,89,0.0,0,0,0,0
1976-01-02 05:00:00,-1.1,89,0.0,0,0,0,0
1976-01-02 06:00:00,-1.1,85,0.0,0,0,0,0
1976-01-02 07:00:00,0.0,72,3.1,140,0,0,0
1976-01-02 08:00:00,0.6,64,4.1,120,1,0,1
1976-01-02 09:00:00,0.6,67,4.1,180,18,5,18
1976-01-02 10:00:00,1.7,59,7.7,140,90,52,79
1976-01-02 11:00:00,2.2,52,7.2,150,238,488,91
1976-01-02 12:00:00,4.4,49,4.6,130,234,351,110
1976-01-02 13:00:00,4.4,49,7.7,130,215,170,153
1976-01-02 14:00:00,5.0,49,5.2,120,184,42,170
1976-01-02 15:00:00,4.4,51,5.7,120,116,3,115
1976-01-02 16:00:00,3.9,53,4.1,130,76,5,76
1976-01-02 17:00:00,3.3,55,4.1,130,10,1,10
1976-01-02 18:00:00,2.8,62,3.6,140,0,0,0
1976-01-02 19:00:00,2.8,59,5.7,130,0,0,0
1976-01-02 20:00:00,2.8,59,5.2,130,0,0,0
1976-01-02 21:00:00,2.2,59,6.2,130,0,0,0
1976-01-02 22:00:00,2.8,65,5.2,130,0,0,0
1976-01-02 23:00:00,2.2,62,4.6,130,0,0,0
1976-01-03 00:00:00,1.7,73,5.2,130,0,0,0
1976-01-03 01:00:00,1.7,79,5.2,120,0,0,0
1976-01-03 02:00:00,1.7,73,6.7,120,0,0,0
1976-01-03 03:00:00,1.7,76,5.2,120,0,0,0
1976-01-03 04:00:00,1.1,85,6.7,120,0,0,0
1976-01-03 05:00:00,1.1,89,6.7,120,0,0,0
1976-01-03 06:00:00,1.1,85,5.7,130,0,0,0
1976-01-03 07:00:00,1.1,85,6.7,130,0,0,0
1976-01-03 08:00:00,1.1,85,5.2,140,1,0,1
1976-01-03 09:00:00,0.6,89,5.7,130,16,0,16
1976-01-03 10:00:00,0.6,89,6.7,120,35,2,34
1976-01-03 11:00:00,0.6,92,6.2,130,59,3,58
1976-01-03 12:00:00,1.1,89,5.2,120,93,1,93
1976-01-03 13:00:00,1.1,89,6.2,130,96,1,96
1976-01-03 14:00:00,1.1,92,7.7,120,87,1,87
1976-01-03 15:00:00,1.7,89,6.7,130,64,1,64
1976-01-03 16:00:00,1.7,92,7.2,130,50,1,50
1976-01-03 17:00:00,2.2,92,5.7,140,7,0,7
1976-01-03 18:00:00,2.8,85,5.7,120,0,0,0
1976-01-03 19:00:00,2.2,89,6.2,120,0,0,0
1976-01-03 20:00:00,2.2,92,6.2,130,0,0,0
1976-01-03 21:00:00,2.8,92,6.2,130,0,0,0
1976-01-03 22:00:00,3.3,89,4.6,120,0,0,0
1976-01-03 23:00:00,2.8,92,5.2,130,0,0,0
1976-01-04 00:00:00,3.3,93,6.2,130,0,0,0
1976-01-04 01:00:00,3.3,93,6.2,130,0,0,0
1976-01-04 02:00:00,2.8,96,6.2,130,0,0,0
1976-01-04 03:00:00,2.8,96,5.7,130,0,0,0
1976-01-04 04:00:00,2.8,96,5.7,140,0,0,0
1976-01-04 05:00:00,2.8,96,6.2,130,0,0,0
1976-01-04 06:00:00,3.3,93,6.2,130,0,0,0
1976-01-04 07:00:00,3.9,96,4.6,130,0,0,0
1976-01-04 08:00:00,5.0,93,3.6,140,1,0,1
1976-01-04 09:00:00,8.9,89,7.7,210,20,0,20
1976-01-04 10:00:00,10.0,83,11.3,180,58,0,58
1976-01-04 11:00:00,9.4,89,7.7,210,83,0,83
1976-01-04 12:00:00,10.0,89,7.7,210,97,1,97
1976-01-04 13:00:00,10.0,89,10.3,200,101,1,101
1976-01-04 14:00:00,10.0,89,6.2,220,88,1,88
1976-01-04 15:00:00,10.0,89,7.7,220,69,1,68
1976-01-04 16:00:00,10.0,89,8.8,210,35,0,35
1976-01-04 17:00:00,10.0,93,6.2,210,8,0,8
1976-01-04 18:00:00,10.0,93,6.2,180,0,0,0
1976-01-04 19:00:00,10.6,86,4.6,200,0,0,0
1976-01-04 20:00:00,10.6,86,4.1,240,0,0,0
1976-01-04 21:00:00,9.4,80,5.7,290,0,0,0
1976-01-04 22:00:00,7.2,83,4.6,290,0,0,0
1976-01-04 23:00:00,6.7,83,0.0,0,0,0,0
1976-01-05 00:00:00,6.1,83,1.0,30,0,0,0
1976-01-05 01:00:00,5.6,93,1.5,160,0,0,0
1976-01-05 02:00:00,5.6,93,3.1,100,0,0,0
1976-01-05 03:00:00,5.6,93,3.6,110,0,0,0
1976-01-05 04:00:00,3.9,96,3.6,110,0,0,0
1976-01-05 05:00:00,5.0,89,0.0,0,0,0,0
1976-01-05 06:00:00,4.4,93,3.6,110,0,0,0
1976-01-05 07:00:00,5.0,89,2.1,80,0,0,0
1976-01-05 08:00:00,5.0,89,3.1,120,1,0,1
1976-01-05 09:00:00,5.0,86,5.2,250,17,0,17
1976-01-05 10:00:00,3.9,89,5.2,260,49,0,49
1976-01-05 11:00:00,5.6,86,3.1,240,204,346,99
1976-01-05 12:00:00,6.7,80,2.6,260,234,195,164
1976-01-05 13:00:00,7.8,77,2.6,210,233,89,200
1976-01-05 14:00:00,8.3,68,3.6,250,181,170,124
1976-01-05 15:00:00,7.8,68,7.7,220,109,13,106
1976-01-05 16:00:00,7.2,74,5.7,230,25,2,25
1976-01-05 17:00:00,6.1,83,7.2,220,6,1,6
1976-01-05 18:00:00,6.1,83,1.5,180,0,0,0
1976-01-05 19:00:00,5.6,89,5.2,210,0,0,0
1976-01-05 20:00:00,5.6,86,7.2,210,0,0,0
1976-01-05 21:00:00,5.0,89,7.7,220,0,0,0
1976-01-05 22:00:00,5.0,89,7.2,230,0,0,0
1976-01-05 23:00:00,5.0,86,4.6,230,0,0,0
1976-01-06 00:00:00,3.9,86,2.6,240,0,0,0
1976-01-06 01:00:00,3.3,89,0.0,0,0,0,0
1976-01-06 02:00:00,3.9,86,2.1,190,0,0,0
1976-01-06 03:00:00,3.9,89,4.1,210,0,0,0
1976-01-06 04:00:00,3.9,86,4.1,200,0,0,0
1976-01-06 05:00:00,3.9,89,4.6,210,0,0,0
1976-01-06 06:00:00,3.3,86,0.0,0,0,0,0
1976-01-06 07:00:00,3.9,86,2.1,190,0,0,0
1976-01-06 08:00:00,3.9,86,2.6,230,0,0,0
1976-01-06 09:00:00,4.4,82,2.1,200,20,3,20
1976-01-06 10:00:00,5.6,79,2.6,240,94,30,88
1976-01-06 11:00:00,6.1,79,2.6,250,134,37,123
1976-01-06 12:00:00,6.1,76,1.5,190,215,98,180
