# file...... residential_transformer.csv
# date...... Tue Feb 24 22:52:22 2026
# user...... deras
# host...... (null)
# target.... transformer 18
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,power_in,power_out
2025-01-01 00:00:00 PST,+2.5037e-05+2.5037e-05j,+0+0j
2025-01-01 00:01:00 PST,+2.5037e-05+2.5037e-05j,+0+0j
2025-01-01 00:02:00 PST,+646.229+1.00088j,+646.062-3.10666e-06j
2025-01-01 00:03:00 PST,+646.229+1.00088j,+646.062+5.68434e-14j
2025-01-01 00:04:00 PST,+646.229+1.00088j,+646.062-8.98126e-12j
2025-01-01 00:05:00 PST,+646.229+1.00088j,+646.062+5.68434e-14j
2025-01-01 00:06:00 PST,+646.229+1.00088j,+646.062+5.68434e-14j
2025-01-01 00:07:00 PST,+646.229+1.00088j,+646.062+5.68434e-14j
2025-01-01 00:08:00 PST,+646.229+1.00088j,+646.062+5.68434e-14j
2025-01-01 00:09:00 PST,+1674.64+6.72191j,+1673.52-8.60837e-05j
2025-01-01 00:10:00 PST,+1674.64+6.722j,+1673.52-2.27374e-13j
2025-01-01 00:11:00 PST,+1674.64+6.722j,+1673.52-1.66619e-09j
2025-01-01 00:12:00 PST,+1674.64+6.722j,+1673.52+3.41061e-13j
2025-01-01 00:13:00 PST,+1674.64+6.722j,+1673.52-2.27374e-13j
2025-01-01 00:14:00 PST,+1674.64+6.722j,+1673.52-1.13687e-13j
2025-01-01 00:15:00 PST,+1674.64+6.722j,+1673.52-1.13687e-13j
2025-01-01 00:16:00 PST,+646.229+1.00089j,+646.062+4.9483e-06j
2025-01-01 00:17:00 PST,+640.499+0.983213j,+640.335+1.3813e-11j
2025-01-01 00:18:00 PST,+640.499+0.983213j,+640.335+2.68304e-08j
2025-01-01 00:19:00 PST,+640.499+0.983213j,+640.335+1.13687e-13j
2025-01-01 00:20:00 PST,+640.499+0.983213j,+640.335+1.13687e-13j
2025-01-01 00:21:00 PST,+640.499+0.983213j,+640.335-5.68434e-14j
2025-01-01 00:22:00 PST,+640.499+0.983213j,+640.335-5.68434e-14j
2025-01-01 00:23:00 PST,+640.499+0.983213j,+640.335-5.68434e-14j
2025-01-01 00:24:00 PST,+6155.55+90.887j,+6140.4-4.54747e-13j
2025-01-01 00:25:00 PST,+7188.52+123.976j,+7167.85+4.54747e-13j
2025-01-01 00:26:00 PST,+7188.52+123.976j,+7167.85-2.46619e-06j
2025-01-01 00:27:00 PST,+12732.8+389.485j,+12667.9-0.000233006j
2025-01-01 00:28:00 PST,+12732.8+389.485j,+12667.9+0j
2025-01-01 00:29:00 PST,+12732.8+389.485j,+12667.9-2.6423e-07j
2025-01-01 00:30:00 PST,+12732.8+389.485j,+12667.9+0j
2025-01-01 00:31:00 PST,+12732.8+389.485j,+12667.9-2.98314e-10j
2025-01-01 00:32:00 PST,+11610.5+323.753j,+11556.6+1.81899e-12j
2025-01-01 00:33:00 PST,+11610.5+323.752j,+11556.6+2.98123e-05j
2025-01-01 00:34:00 PST,+6071.25+88.4134j,+6056.52+9.09495e-13j
2025-01-01 00:35:00 PST,+6071.25+88.4134j,+6056.52+5.69579e-06j
2025-01-01 00:36:00 PST,+6071.25+88.4134j,+6056.52+0j
2025-01-01 00:37:00 PST,+556.574+0.742448j,+556.451+1.6994e-05j
2025-01-01 00:38:00 PST,+556.574+0.742431j,+556.451+5.68434e-14j
2025-01-01 00:39:00 PST,+556.574+0.742431j,+556.451+3.61808e-11j
2025-01-01 00:40:00 PST,+556.574+0.742431j,+556.451+0j
2025-01-01 00:41:00 PST,+556.574+0.742431j,+556.451+2.84217e-14j
2025-01-01 00:42:00 PST,+1584.91+6.02081j,+1583.9-7.29643e-05j
2025-01-01 00:43:00 PST,+1584.91+6.02088j,+1583.9+1.13687e-13j
2025-01-01 00:44:00 PST,+1584.91+6.02088j,+1583.9-1.26511e-09j
2025-01-01 00:45:00 PST,+1584.91+6.02088j,+1583.9+3.41061e-13j
2025-01-01 00:46:00 PST,+1584.91+6.02088j,+1583.9+0j
2025-01-01 00:47:00 PST,+1584.91+6.02088j,+1583.9+0j
2025-01-01 00:48:00 PST,+1584.91+6.02088j,+1583.9+0j
2025-01-01 00:49:00 PST,+556.574+0.742435j,+556.451+3.16085e-06j
2025-01-01 00:50:00 PST,+556.574+0.742431j,+556.451+2.84217e-14j
2025-01-01 00:51:00 PST,+556.574+0.742431j,+556.451+6.82121e-12j
2025-01-01 00:52:00 PST,+556.574+0.742431j,+556.451+2.84217e-14j
2025-01-01 00:53:00 PST,+556.574+0.742431j,+556.451+2.84217e-14j
2025-01-01 00:54:00 PST,+556.574+0.742431j,+556.451+2.84217e-14j
2025-01-01 00:55:00 PST,+556.574+0.742431j,+556.451+2.84217e-14j
2025-01-01 00:56:00 PST,+556.574+0.742431j,+556.451+2.84217e-14j
2025-01-01 00:57:00 PST,+556.574+0.742431j,+556.451+2.84217e-14j
2025-01-01 00:58:00 PST,+1584.91+6.02081j,+1583.9-7.29643e-05j
2025-01-01 00:59:00 PST,+1584.91+6.02088j,+1583.9+1.13687e-13j
2025-01-01 01:00:00 PST,+1584.91+6.02088j,+1583.9-1.26511e-09j
2025-01-01 01:01:00 PST,+1584.91+6.02088j,+1583.9+3.41061e-13j
2025-01-01 01:02:00 PST,+525.429+0.661667j,+525.318+2.73988e-06j
2025-01-01 01:03:00 PST,+525.429+0.661664j,+525.318-2.84217e-14j
2025-01-01 01:04:00 PST,+525.429+0.661664j,+525.318+5.25802e-12j
2025-01-01 01:05:00 PST,+525.429+0.661664j,+525.318+0j
2025-01-01 01:06:00 PST,+525.429+0.661664j,+525.318+0j
2025-01-01 01:07:00 PST,+525.429+0.661664j,+525.318+0j
2025-01-01 01:08:00 PST,+525.429+0.661664j,+525.318+0j
2025-01-01 01:09:00 PST,+525.429+0.661664j,+525.318+0j
2025-01-01 01:10:00 PST,+525.429+0.661664j,+525.318+0j
2025-01-01 01:11:00 PST,+525.429+0.661664j,+525.318+0j
2025-01-01 01:12:00 PST,+525.429+0.661664j,+525.318+0j
2025-01-01 01:13:00 PST,+525.429+0.661664j,+525.318+0j
2025-01-01 01:14:00 PST,+525.429+0.661664j,+525.318+0j
2025-01-01 01:15:00 PST,+525.429+0.661664j,+525.318+0j
2025-01-01 01:16:00 PST,+525.429+0.661664j,+525.318+0j
2025-01-01 01:17:00 PST,+525.429+0.661664j,+525.318+0j
2025-01-01 01:18:00 PST,+525.429+0.661664j,+525.318+0j
2025-01-01 01:19:00 PST,+525.429+0.661664j,+525.318+0j
2025-01-01 01:20:00 PST,+525.429+0.661664j,+525.318+0j
2025-01-01 01:21:00 PST,+525.429+0.661664j,+525.318+0j
2025-01-01 01:22:00 PST,+525.429+0.661664j,+525.318+0j
2025-01-01 01:23:00 PST,+525.429+0.661664j,+525.318+0j
2025-01-01 01:24:00 PST,+525.429+0.661664j,+525.318+0j
2025-01-01 01:25:00 PST,+525.429+0.661664j,+525.318+0j
2025-01-01 01:26:00 PST,+525.429+0.661664j,+525.318+0j
2025-01-01 01:27:00 PST,+1553.74+5.78629j,+1552.77-6.874e-05j
2025-01-01 01:28:00 PST,+1553.74+5.78636j,+1552.77-3.41061e-13j
2025-01-01 01:29:00 PST,+1553.74+5.78636j,+1552.77-1.14517e-09j
2025-01-01 01:30:00 PST,+1553.74+5.78636j,+1552.77+3.41061e-13j
2025-01-01 01:31:00 PST,+10719.1+275.884j,+10673.1-0.000161681j
2025-01-01 01:32:00 PST,+10719.1+275.884j,+10673.1-2.72848e-12j
2025-01-01 01:33:00 PST,+9683.2+225.079j,+9645.69+1.81899e-12j
2025-01-01 01:34:00 PST,+9683.2+225.079j,+9645.69+1.10493e-05j
2025-01-01 01:35:00 PST,+9683.2+225.079j,+9645.69-9.09495e-13j
2025-01-01 01:36:00 PST,+525.429+0.661688j,+525.318+2.37964e-05j
2025-01-01 01:37:00 PST,+525.429+0.661664j,+525.318-1.13687e-13j
2025-01-01 01:38:00 PST,+525.429+0.661664j,+525.318+4.54463e-11j
2025-01-01 01:39:00 PST,+525.429+0.661664j,+525.318+0j
2025-01-01 01:40:00 PST,+525.429+0.661664j,+525.318+0j
2025-01-01 01:41:00 PST,+525.429+0.661664j,+525.318+0j
2025-01-01 01:42:00 PST,+525.429+0.661664j,+525.318+0j
2025-01-01 01:43:00 PST,+525.429+0.661664j,+525.318+0j
2025-01-01 01:44:00 PST,+525.429+0.661664j,+525.318+0j
2025-01-01 01:45:00 PST,+525.429+0.661664j,+525.318+0j
2025-01-01 01:46:00 PST,+525.429+0.661664j,+525.318+0j
2025-01-01 01:47:00 PST,+1553.74+5.78629j,+1552.77-6.874e-05j
2025-01-01 01:48:00 PST,+1553.74+5.78636j,+1552.77-3.41061e-13j
2025-01-01 01:49:00 PST,+1553.74+5.78636j,+1552.77-1.14517e-09j
2025-01-01 01:50:00 PST,+1553.74+5.78636j,+1552.77+3.41061e-13j
2025-01-01 01:51:00 PST,+1553.74+5.78636j,+1552.77-1.13687e-13j
2025-01-01 01:52:00 PST,+1553.74+5.78636j,+1552.77+1.13687e-13j
2025-01-01 01:53:00 PST,+525.429+0.661667j,+525.318+2.65922e-06j
2025-01-01 01:54:00 PST,+525.429+0.661664j,+525.318-2.84217e-14j
2025-01-01 01:55:00 PST,+525.429+0.661664j,+525.318+5.17275e-12j
2025-01-01 01:56:00 PST,+525.429+0.661664j,+525.318+0j
2025-01-01 01:57:00 PST,+525.429+0.661664j,+525.318+0j
2025-01-01 01:58:00 PST,+525.429+0.661664j,+525.318+0j
2025-01-01 01:59:00 PST,+525.429+0.661664j,+525.318+0j
2025-01-01 02:00:00 PST,+525.429+0.661664j,+525.318+0j
2025-01-01 02:01:00 PST,+525.429+0.661664j,+525.318+0j
2025-01-01 02:02:00 PST,+521.968+0.652978j,+521.859-8.52651e-14j
2025-01-01 02:03:00 PST,+521.968+0.652978j,+521.859+8.76798e-09j
2025-01-01 02:04:00 PST,+521.968+0.652978j,+521.859-1.13687e-13j
2025-01-01 02:05:00 PST,+521.968+0.652978j,+521.859+0j
2025-01-01 02:06:00 PST,+1550.27+5.76052j,+1549.31-6.8281e-05j
2025-01-01 02:07:00 PST,+1550.27+5.76059j,+1549.31-3.41061e-13j
2025-01-01 02:08:00 PST,+1550.27+5.76059j,+1549.31-1.13198e-09j
2025-01-01 02:09:00 PST,+1550.27+5.76059j,+1549.31-2.27374e-13j
2025-01-01 02:10:00 PST,+1550.27+5.76059j,+1549.31+0j
2025-01-01 02:11:00 PST,+1550.27+5.76059j,+1549.31+0j
2025-01-01 02:12:00 PST,+521.968+0.652981j,+521.859+2.60702e-06j
2025-01-01 02:13:00 PST,+521.968+0.652978j,+521.859-2.84217e-14j
2025-01-01 02:14:00 PST,+521.968+0.652978j,+521.859+4.74643e-12j
2025-01-01 02:15:00 PST,+521.968+0.652978j,+521.859+0j
2025-01-01 02:16:00 PST,+521.968+0.652978j,+521.859+0j
2025-01-01 02:17:00 PST,+530.152+0.673613j,+530.039+1.13687e-13j
2025-01-01 02:18:00 PST,+530.152+0.673613j,+530.039-2.17262e-08j
2025-01-01 02:19:00 PST,+530.152+0.673613j,+530.039+0j
2025-01-01 02:20:00 PST,+530.152+0.673613j,+530.039-8.52651e-14j
2025-01-01 02:21:00 PST,+530.152+0.673613j,+530.039+0j
2025-01-01 02:22:00 PST,+530.152+0.673613j,+530.039+0j
2025-01-01 02:23:00 PST,+530.152+0.673613j,+530.039+0j
2025-01-01 02:24:00 PST,+530.152+0.673613j,+530.039+0j
2025-01-01 02:25:00 PST,+1558.46+5.82155j,+1557.49-6.93698e-05j
2025-01-01 02:26:00 PST,+1558.46+5.82162j,+1557.49-1.13687e-13j
2025-01-01 02:27:00 PST,+1558.46+5.82162j,+1557.49-1.16245e-09j
2025-01-01 02:28:00 PST,+1558.46+5.82162j,+1557.49-4.54747e-13j
2025-01-01 02:29:00 PST,+1558.46+5.82162j,+1557.49+0j
2025-01-01 02:30:00 PST,+1558.46+5.82162j,+1557.49+0j
2025-01-01 02:31:00 PST,+530.152+0.673616j,+530.039+2.7316e-06j
2025-01-01 02:32:00 PST,+530.152+0.673613j,+530.039+8.52651e-14j
2025-01-01 02:33:00 PST,+530.152+0.673613j,+530.039+5.25802e-12j
2025-01-01 02:34:00 PST,+530.152+0.673613j,+530.039+0j
2025-01-01 02:35:00 PST,+530.152+0.673613j,+530.039+0j
2025-01-01 02:36:00 PST,+530.152+0.673613j,+530.039+0j
2025-01-01 02:37:00 PST,+530.152+0.673613j,+530.039+0j
2025-01-01 02:38:00 PST,+530.152+0.673613j,+530.039+0j
2025-01-01 02:39:00 PST,+530.152+0.673613j,+530.039+0j
2025-01-01 02:40:00 PST,+530.152+0.673613j,+530.039+0j
2025-01-01 02:41:00 PST,+9687.96+225.301j,+9650.41+2.27374e-12j
2025-01-01 02:42:00 PST,+9687.96+225.301j,+9650.41-9.72058e-05j
2025-01-01 02:43:00 PST,+10723.9+276.13j,+10677.9-6.00267e-11j
2025-01-01 02:44:00 PST,+10723.9+276.13j,+10677.9-1.84242e-05j
2025-01-01 02:45:00 PST,+10723.9+276.13j,+10677.9+0j
2025-01-01 02:46:00 PST,+1558.46+5.82225j,+1557.49+0.000622132j
2025-01-01 02:47:00 PST,+1558.46+5.82162j,+1557.49+0j
2025-01-01 02:48:00 PST,+1558.46+5.82162j,+1557.49+1.0427e-08j
2025-01-01 02:49:00 PST,+530.152+0.673616j,+530.039+2.7316e-06j
2025-01-01 02:50:00 PST,+530.152+0.673613j,+530.039+8.52651e-14j
2025-01-01 02:51:00 PST,+530.152+0.673613j,+530.039+5.25802e-12j
2025-01-01 02:52:00 PST,+530.152+0.673613j,+530.039+0j
2025-01-01 02:53:00 PST,+530.152+0.673613j,+530.039+0j
2025-01-01 02:54:00 PST,+530.152+0.673613j,+530.039+0j
2025-01-01 02:55:00 PST,+530.152+0.673613j,+530.039+0j
2025-01-01 02:56:00 PST,+530.152+0.673613j,+530.039+0j
2025-01-01 02:57:00 PST,+530.152+0.673613j,+530.039+0j
2025-01-01 02:58:00 PST,+530.152+0.673613j,+530.039+0j
2025-01-01 02:59:00 PST,+530.152+0.673613j,+530.039+0j
2025-01-01 03:00:00 PST,+530.152+0.673613j,+530.039+0j
2025-01-01 03:01:00 PST,+1558.46+5.82155j,+1557.49-6.93698e-05j
2025-01-01 03:02:00 PST,+10714.8+275.66j,+10668.8-0.000161194j
2025-01-01 03:03:00 PST,+10714.8+275.661j,+10668.8+1.81899e-12j
2025-01-01 03:04:00 PST,+16275.1+637.022j,+16168.9-0.000804552j
2025-01-01 03:05:00 PST,+16275.1+637.023j,+16168.9-4.54747e-12j
2025-01-01 03:06:00 PST,+16275.1+637.023j,+16168.9-1.49812e-06j
2025-01-01 03:07:00 PST,+15234.5+557.979j,+15141.5-8.18545e-12j
2025-01-01 03:08:00 PST,+15234.5+557.979j,+15141.5+0.000108554j
2025-01-01 03:09:00 PST,+15234.5+557.978j,+15141.5-1.81899e-12j
2025-01-01 03:10:00 PST,+15234.5+557.978j,+15141.5+1.76845e-07j
2025-01-01 03:11:00 PST,+15234.5+557.978j,+15141.5+0j
2025-01-01 03:12:00 PST,+15234.5+557.978j,+15141.5+2.85581e-10j
2025-01-01 03:13:00 PST,+15234.5+557.978j,+15141.5+0j
2025-01-01 03:14:00 PST,+15234.5+557.978j,+15141.5+2.72848e-12j
2025-01-01 03:15:00 PST,+15234.5+557.978j,+15141.5-9.09495e-13j
2025-01-01 03:16:00 PST,+15234.5+557.978j,+15141.5-9.09495e-13j
2025-01-01 03:17:00 PST,+15234+557.944j,+15141+1.81899e-12j
2025-01-01 03:18:00 PST,+9678.4+224.856j,+9640.92-4.54747e-12j
2025-01-01 03:19:00 PST,+10714.3+275.636j,+10668.4-9.09495e-13j
2025-01-01 03:20:00 PST,+10714.3+275.636j,+10668.4-1.83415e-05j
2025-01-01 03:21:00 PST,+10714.3+275.636j,+10668.4+0j
2025-01-01 03:22:00 PST,+10714.3+275.636j,+10668.4-1.46847e-08j
2025-01-01 03:23:00 PST,+10714.3+275.636j,+10668.4-1.81899e-12j
2025-01-01 03:24:00 PST,+10714.3+275.636j,+10668.4-1.09139e-11j
2025-01-01 03:25:00 PST,+9678.39+224.856j,+9640.92-2.72848e-12j
2025-01-01 03:26:00 PST,+9678.39+224.856j,+9640.92+1.10217e-05j
2025-01-01 03:27:00 PST,+9678.39+224.856j,+9640.92-2.27374e-12j
2025-01-01 03:28:00 PST,+9678.39+224.856j,+9640.92+7.19365e-09j
2025-01-01 03:29:00 PST,+9678.39+224.856j,+9640.92-1.81899e-12j
2025-01-01 03:30:00 PST,+9678.39+224.856j,+9640.92+4.09273e-12j
2025-01-01 03:31:00 PST,+9678.39+224.856j,+9640.92+9.09495e-13j
2025-01-01 03:32:00 PST,+9674.5+224.674j,+9637.05-1.81899e-12j
2025-01-01 03:33:00 PST,+9674.5+224.674j,+9637.05+6.34412e-05j
2025-01-01 03:34:00 PST,+9674.5+224.674j,+9637.05-1.36424e-12j
2025-01-01 03:35:00 PST,+9674.5+224.674j,+9637.05+4.13665e-08j
2025-01-01 03:36:00 PST,+10710.4+275.435j,+10664.5-9.09495e-13j
2025-01-01 03:37:00 PST,+10710.4+275.435j,+10664.5-1.83079e-05j
2025-01-01 03:38:00 PST,+10710.4+275.435j,+10664.5+1.81899e-12j
2025-01-01 03:39:00 PST,+10710.4+275.435j,+10664.5-1.46492e-08j
2025-01-01 03:40:00 PST,+10710.4+275.435j,+10664.5-1.81899e-12j
2025-01-01 03:41:00 PST,+10710.4+275.435j,+10664.5-1.09139e-11j
2025-01-01 03:42:00 PST,+9674.5+224.674j,+9637.05+1.36424e-12j
2025-01-01 03:43:00 PST,+9674.5+224.674j,+9637.05+1.09993e-05j
2025-01-01 03:44:00 PST,+9674.5+224.674j,+9637.05-9.09495e-13j
2025-01-01 03:45:00 PST,+9674.5+224.674j,+9637.05+7.17228e-09j
2025-01-01 03:46:00 PST,+9674.5+224.674j,+9637.05-4.54747e-13j
2025-01-01 03:47:00 PST,+9666.73+224.313j,+9629.34+0.000126123j
2025-01-01 03:48:00 PST,+9666.73+224.313j,+9629.34+4.54747e-13j
2025-01-01 03:49:00 PST,+9666.73+224.313j,+9629.34+8.21015e-08j
2025-01-01 03:50:00 PST,+9666.73+224.313j,+9629.34+1.36424e-12j
2025-01-01 03:51:00 PST,+9666.73+224.313j,+9629.34+5.18412e-11j
2025-01-01 03:52:00 PST,+9666.73+224.313j,+9629.34-9.09495e-13j
2025-01-01 03:53:00 PST,+9666.73+224.313j,+9629.34+4.54747e-13j
2025-01-01 03:54:00 PST,+10702.6+275.035j,+10656.8+2.72848e-12j
2025-01-01 03:55:00 PST,+10702.6+275.035j,+10656.8-1.82411e-05j
2025-01-01 03:56:00 PST,+10702.6+275.035j,+10656.8-9.09495e-13j
2025-01-01 03:57:00 PST,+10702.6+275.035j,+10656.8-1.45774e-08j
2025-01-01 03:58:00 PST,+10702.6+275.035j,+10656.8+1.81899e-12j
2025-01-01 03:59:00 PST,+10702.6+275.035j,+10656.8-1.09139e-11j
2025-01-01 04:00:00 PST,+9666.73+224.313j,+9629.34+1.59162e-12j
2025-01-01 04:01:00 PST,+15222.3+557.083j,+15129.4-0.000573785j
2025-01-01 04:02:00 PST,+15221.1+556.997j,+15128.2-9.33084e-07j
2025-01-01 04:03:00 PST,+15221.1+556.997j,+15128.2+7.52987e-05j
2025-01-01 04:04:00 PST,+15221.1+556.997j,+15128.2-1.51886e-09j
2025-01-01 04:05:00 PST,+15221.1+556.997j,+15128.2+1.22451e-07j
2025-01-01 04:06:00 PST,+15221.1+556.997j,+15128.2-3.63798e-12j
2025-01-01 04:07:00 PST,+15221.1+556.997j,+15128.2+2.00998e-10j
2025-01-01 04:08:00 PST,+15221.1+556.997j,+15128.2-1.81899e-12j
2025-01-01 04:09:00 PST,+6022.37+86.9945j,+6007.87-9.09495e-13j
2025-01-01 04:10:00 PST,+507.904+0.618277j,+507.801+1.29133e-05j
