# file...... ../results/ochre_load_409590.csv
# date...... Tue Jul  7 16:45:03 2026
# user...... deras
# host...... (null)
# target.... triplex_load 52
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,constant_power_12
2025-01-01 00:00:00 PST,+0+0j
2025-01-01 00:01:00 PST,+0+0j
2025-01-01 00:02:00 PST,+8380.48+0j
2025-01-01 00:03:00 PST,+8381.48+0j
2025-01-01 00:04:00 PST,+8382.41+0j
2025-01-01 00:05:00 PST,+8383.29+0j
2025-01-01 00:06:00 PST,+8384.11+0j
2025-01-01 00:07:00 PST,+8384.88+0j
2025-01-01 00:08:00 PST,+8385.61+0j
2025-01-01 00:09:00 PST,+8386.31+0j
2025-01-01 00:10:00 PST,+8386.98+0j
2025-01-01 00:11:00 PST,+8387.62+0j
2025-01-01 00:12:00 PST,+8388.22+0j
2025-01-01 00:13:00 PST,+8388.79+0j
2025-01-01 00:14:00 PST,+8389.34+0j
2025-01-01 00:15:00 PST,+8389.85+0j
2025-01-01 00:16:00 PST,+8390.35+0j
2025-01-01 00:17:00 PST,+8390.81+0j
2025-01-01 00:18:00 PST,+8391.19+0j
2025-01-01 00:19:00 PST,+8391.54+0j
2025-01-01 00:20:00 PST,+8391.88+0j
2025-01-01 00:21:00 PST,+8392.19+0j
2025-01-01 00:22:00 PST,+8392.49+0j
2025-01-01 00:23:00 PST,+8392.76+0j
2025-01-01 00:24:00 PST,+8393.02+0j
2025-01-01 00:25:00 PST,+8393.26+0j
2025-01-01 00:26:00 PST,+8393.49+0j
2025-01-01 00:27:00 PST,+8393.7+0j
2025-01-01 00:28:00 PST,+8393.9+0j
2025-01-01 00:29:00 PST,+8394.09+0j
2025-01-01 00:30:00 PST,+8394.26+0j
2025-01-01 00:31:00 PST,+8394.42+0j
2025-01-01 00:32:00 PST,+8394.57+0j
2025-01-01 00:33:00 PST,+8394.69+0j
2025-01-01 00:34:00 PST,+8394.8+0j
2025-01-01 00:35:00 PST,+8394.9+0j
2025-01-01 00:36:00 PST,+8395+0j
2025-01-01 00:37:00 PST,+8395.09+0j
2025-01-01 00:38:00 PST,+8395.17+0j
2025-01-01 00:39:00 PST,+8395.24+0j
2025-01-01 00:40:00 PST,+8395.31+0j
2025-01-01 00:41:00 PST,+8395.37+0j
2025-01-01 00:42:00 PST,+8395.42+0j
2025-01-01 00:43:00 PST,+8395.47+0j
2025-01-01 00:44:00 PST,+8395.52+0j
2025-01-01 00:45:00 PST,+8395.56+0j
2025-01-01 00:46:00 PST,+8395.6+0j
2025-01-01 00:47:00 PST,+8395.63+0j
2025-01-01 00:48:00 PST,+8395.66+0j
2025-01-01 00:49:00 PST,+8395.69+0j
2025-01-01 00:50:00 PST,+8395.71+0j
2025-01-01 00:51:00 PST,+8395.73+0j
2025-01-01 00:52:00 PST,+8395.75+0j
2025-01-01 00:53:00 PST,+8395.77+0j
2025-01-01 00:54:00 PST,+8395.79+0j
2025-01-01 00:55:00 PST,+8395.8+0j
2025-01-01 00:56:00 PST,+8395.81+0j
2025-01-01 00:57:00 PST,+8395.83+0j
2025-01-01 00:58:00 PST,+8395.84+0j
2025-01-01 00:59:00 PST,+8395.85+0j
2025-01-01 01:00:00 PST,+8395.86+0j
2025-01-01 01:01:00 PST,+8395.87+0j
2025-01-01 01:02:00 PST,+8395.88+0j
2025-01-01 01:03:00 PST,+8395.88+0j
2025-01-01 01:04:00 PST,+8395.89+0j
2025-01-01 01:05:00 PST,+8395.9+0j
2025-01-01 01:06:00 PST,+8395.91+0j
2025-01-01 01:07:00 PST,+8395.92+0j
2025-01-01 01:08:00 PST,+8395.93+0j
2025-01-01 01:09:00 PST,+8395.94+0j
2025-01-01 01:10:00 PST,+8395.95+0j
2025-01-01 01:11:00 PST,+8395.96+0j
2025-01-01 01:12:00 PST,+8395.97+0j
2025-01-01 01:13:00 PST,+8395.98+0j
2025-01-01 01:14:00 PST,+8395.99+0j
2025-01-01 01:15:00 PST,+8396.01+0j
2025-01-01 01:16:00 PST,+8396.03+0j
2025-01-01 01:17:00 PST,+8396.04+0j
2025-01-01 01:18:00 PST,+8396.06+0j
2025-01-01 01:19:00 PST,+8396.08+0j
2025-01-01 01:20:00 PST,+8396.1+0j
2025-01-01 01:21:00 PST,+8396.12+0j
2025-01-01 01:22:00 PST,+8396.15+0j
2025-01-01 01:23:00 PST,+8396.17+0j
2025-01-01 01:24:00 PST,+8396.2+0j
2025-01-01 01:25:00 PST,+8396.22+0j
2025-01-01 01:26:00 PST,+8396.25+0j
2025-01-01 01:27:00 PST,+8396.28+0j
2025-01-01 01:28:00 PST,+8396.32+0j
2025-01-01 01:29:00 PST,+8396.35+0j
2025-01-01 01:30:00 PST,+8396.39+0j
2025-01-01 01:31:00 PST,+8396.42+0j
2025-01-01 01:32:00 PST,+8307.05+0j
2025-01-01 01:33:00 PST,+8306.91+0j
2025-01-01 01:34:00 PST,+8306.79+0j
2025-01-01 01:35:00 PST,+8306.66+0j
2025-01-01 01:36:00 PST,+8306.55+0j
2025-01-01 01:37:00 PST,+8306.44+0j
2025-01-01 01:38:00 PST,+8306.33+0j
2025-01-01 01:39:00 PST,+8306.23+0j
2025-01-01 01:40:00 PST,+8306.13+0j
2025-01-01 01:41:00 PST,+8306.03+0j
2025-01-01 01:42:00 PST,+8305.94+0j
2025-01-01 01:43:00 PST,+8305.86+0j
2025-01-01 01:44:00 PST,+8305.77+0j
2025-01-01 01:45:00 PST,+8305.69+0j
2025-01-01 01:46:00 PST,+8305.62+0j
2025-01-01 01:47:00 PST,+8305.55+0j
2025-01-01 01:48:00 PST,+8305.48+0j
2025-01-01 01:49:00 PST,+8305.41+0j
2025-01-01 01:50:00 PST,+8305.35+0j
2025-01-01 01:51:00 PST,+8305.29+0j
2025-01-01 01:52:00 PST,+8305.23+0j
2025-01-01 01:53:00 PST,+8305.18+0j
2025-01-01 01:54:00 PST,+8305.13+0j
2025-01-01 01:55:00 PST,+8305.08+0j
2025-01-01 01:56:00 PST,+8305.04+0j
2025-01-01 01:57:00 PST,+8305+0j
2025-01-01 01:58:00 PST,+8304.96+0j
2025-01-01 01:59:00 PST,+8304.92+0j
2025-01-01 02:00:00 PST,+8304.89+0j
2025-01-01 02:01:00 PST,+8304.86+0j
2025-01-01 02:02:00 PST,+8304.83+0j
2025-01-01 02:03:00 PST,+8304.8+0j
2025-01-01 02:04:00 PST,+8304.77+0j
2025-01-01 02:05:00 PST,+8304.75+0j
2025-01-01 02:06:00 PST,+8304.73+0j
2025-01-01 02:07:00 PST,+8304.71+0j
2025-01-01 02:08:00 PST,+8304.69+0j
2025-01-01 02:09:00 PST,+8304.68+0j
2025-01-01 02:10:00 PST,+8304.66+0j
2025-01-01 02:11:00 PST,+8304.65+0j
2025-01-01 02:12:00 PST,+8304.64+0j
2025-01-01 02:13:00 PST,+8304.64+0j
2025-01-01 02:14:00 PST,+8304.63+0j
2025-01-01 02:15:00 PST,+8304.63+0j
2025-01-01 02:16:00 PST,+8304.62+0j
2025-01-01 02:17:00 PST,+8304.62+0j
2025-01-01 02:18:00 PST,+8304.62+0j
2025-01-01 02:19:00 PST,+8304.63+0j
2025-01-01 02:20:00 PST,+8304.63+0j
