# file...... ../results/residential_transformer.csv
# date...... Tue Jul  7 16:45:03 2026
# user...... deras
# host...... (null)
# target.... transformer 18
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,power_in,power_out
2025-01-01 00:00:00 PST,+5.00741e-05+5.00741e-05j,+0+0j
2025-01-01 00:01:00 PST,+5.00741e-05+5.00741e-05j,+0+0j
2025-01-01 00:02:00 PST,+71789.2+6287.78j,+70741.3-0.0088938j
2025-01-01 00:03:00 PST,+71793.1+6288.47j,+70745-0.00421476j
2025-01-01 00:04:00 PST,+70753.6+6105.17j,+69736.1+0.0115339j
2025-01-01 00:05:00 PST,+70757.2+6105.77j,+69739.5-0.00372232j
2025-01-01 00:06:00 PST,+57837.6+4060.25j,+57160.9-1.29148e-09j
2025-01-01 00:07:00 PST,+68828.4+5773.06j,+67866.2+2.36469e-11j
2025-01-01 00:08:00 PST,+52658.5+3359.91j,+52098.5+0j
2025-01-01 00:09:00 PST,+53711.8+3496.85j,+53129-0.00282298j
2025-01-01 00:10:00 PST,+54169.3+3557.2j,+53576.4-1.05158e-07j
2025-01-01 00:11:00 PST,+54172.2+3557.59j,+53579.3-6.4756e-10j
2025-01-01 00:12:00 PST,+47275.3+2703.59j,+46824.7+0.00968478j
2025-01-01 00:13:00 PST,+55931.2+3794.57j,+55298.8+2.67028e-09j
2025-01-01 00:14:00 PST,+49558.1+2973.04j,+49062.5+0.0113809j
2025-01-01 00:15:00 PST,+57888.7+4067.5j,+57210.8+3.87445e-09j
2025-01-01 00:16:00 PST,+50863+3132.92j,+50340.8+0.0143357j
2025-01-01 00:17:00 PST,+50863.9+3133.02j,+50341.7+7.68967e-05j
2025-01-01 00:18:00 PST,+46144.1+2574.9j,+45714.9+0.00584842j
2025-01-01 00:19:00 PST,+45668.3+2521.72j,+45248+1.08244e-07j
2025-01-01 00:20:00 PST,+65516+5224.18j,+64645.3+0j
2025-01-01 00:21:00 PST,+66250.7+5343.48j,+65360.1-0.00579149j
2025-01-01 00:22:00 PST,+44037+2343.69j,+43646.4-3.7835e-10j
2025-01-01 00:23:00 PST,+44725.7+2418.04j,+44322.7+1.45519e-11j
2025-01-01 00:24:00 PST,+44726.4+2418.11j,+44323.3+1.45519e-11j
2025-01-01 00:25:00 PST,+36944.7+1646.43j,+36670.3+0.00312019j
2025-01-01 00:26:00 PST,+51369+3196.07j,+50836.3+5.16593e-10j
2025-01-01 00:27:00 PST,+59447.5+4291.81j,+58732.2+7.27596e-12j
2025-01-01 00:28:00 PST,+60372.6+4427.84j,+59634.6-0.00451685j
2025-01-01 00:29:00 PST,+64150.9+5006.18j,+63316.5-0.0251582j
2025-01-01 00:30:00 PST,+64411+5047.37j,+63569.7-1.91714e-06j
2025-01-01 00:31:00 PST,+64414.4+5047.92j,+63573.1-1.67529e-08j
2025-01-01 00:32:00 PST,+41883.6+2118.82j,+41530.5+0.0172677j
2025-01-01 00:33:00 PST,+47862.1+2771.6j,+47400.2-0.00885981j
2025-01-01 00:34:00 PST,+51285.7+3185.62j,+50754.7-0.00723131j
2025-01-01 00:35:00 PST,+50834.7+3129.4j,+50313.1-2.07663e-07j
2025-01-01 00:36:00 PST,+50837.5+3129.75j,+50315.9-1.10413e-09j
2025-01-01 00:37:00 PST,+50840.3+3130.1j,+50318.6+0j
2025-01-01 00:38:00 PST,+42107.9+2141.7j,+41751+0.00680863j
