# file...... ../results/ochre_load_409590.csv
# date...... Tue Jul  7 16:36:59 2026
# user...... deras
# host...... (null)
# target.... triplex_load 52
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,constant_power_12
2025-01-01 00:00:00 PST,+0+0j
2025-01-01 00:01:00 PST,+0+0j
2025-01-01 00:02:00 PST,+9158.47+0j
2025-01-01 00:03:00 PST,+9159.47+0j
2025-01-01 00:04:00 PST,+9160.4+0j
2025-01-01 00:05:00 PST,+9161.28+0j
2025-01-01 00:06:00 PST,+9162.1+0j
2025-01-01 00:07:00 PST,+9162.87+0j
2025-01-01 00:08:00 PST,+9163.61+0j
2025-01-01 00:09:00 PST,+14664.4+0j
2025-01-01 00:10:00 PST,+14665+0j
2025-01-01 00:11:00 PST,+14665.7+0j
2025-01-01 00:12:00 PST,+14666.3+0j
2025-01-01 00:13:00 PST,+14666.8+0j
2025-01-01 00:14:00 PST,+14667.4+0j
2025-01-01 00:15:00 PST,+14667.9+0j
2025-01-01 00:16:00 PST,+14668.4+0j
2025-01-01 00:17:00 PST,+14588.7+0j
2025-01-01 00:18:00 PST,+14589.1+0j
2025-01-01 00:19:00 PST,+14589.5+0j
2025-01-01 00:20:00 PST,+9089.72+0j
2025-01-01 00:21:00 PST,+9090.04+0j
2025-01-01 00:22:00 PST,+9090.33+0j
2025-01-01 00:23:00 PST,+9090.61+0j
2025-01-01 00:24:00 PST,+9090.87+0j
2025-01-01 00:25:00 PST,+9091.11+0j
2025-01-01 00:26:00 PST,+9091.34+0j
2025-01-01 00:27:00 PST,+9091.55+0j
2025-01-01 00:28:00 PST,+9091.75+0j
2025-01-01 00:29:00 PST,+9091.93+0j
2025-01-01 00:30:00 PST,+9092.1+0j
2025-01-01 00:31:00 PST,+9092.26+0j
2025-01-01 00:32:00 PST,+9072.31+0j
2025-01-01 00:33:00 PST,+9072.43+0j
2025-01-01 00:34:00 PST,+9072.55+0j
2025-01-01 00:35:00 PST,+9072.65+0j
2025-01-01 00:36:00 PST,+9072.74+0j
2025-01-01 00:37:00 PST,+9072.83+0j
2025-01-01 00:38:00 PST,+9072.91+0j
2025-01-01 00:39:00 PST,+9072.98+0j
2025-01-01 00:40:00 PST,+9073.05+0j
2025-01-01 00:41:00 PST,+9073.11+0j
2025-01-01 00:42:00 PST,+9073.17+0j
2025-01-01 00:43:00 PST,+9073.22+0j
2025-01-01 00:44:00 PST,+9073.26+0j
2025-01-01 00:45:00 PST,+9073.3+0j
2025-01-01 00:46:00 PST,+9073.34+0j
2025-01-01 00:47:00 PST,+9073.37+0j
2025-01-01 00:48:00 PST,+9073.4+0j
2025-01-01 00:49:00 PST,+9073.43+0j
2025-01-01 00:50:00 PST,+9073.45+0j
2025-01-01 00:51:00 PST,+9073.48+0j
2025-01-01 00:52:00 PST,+9073.5+0j
2025-01-01 00:53:00 PST,+9073.51+0j
2025-01-01 00:54:00 PST,+9073.53+0j
2025-01-01 00:55:00 PST,+9073.55+0j
2025-01-01 00:56:00 PST,+9073.56+0j
2025-01-01 00:57:00 PST,+9073.57+0j
2025-01-01 00:58:00 PST,+9073.58+0j
2025-01-01 00:59:00 PST,+9073.59+0j
2025-01-01 01:00:00 PST,+9073.6+0j
2025-01-01 01:01:00 PST,+9073.61+0j
2025-01-01 01:02:00 PST,+9072.01+0j
2025-01-01 01:03:00 PST,+9072.02+0j
2025-01-01 01:04:00 PST,+9072.03+0j
2025-01-01 01:05:00 PST,+9072.03+0j
2025-01-01 01:06:00 PST,+9072.04+0j
2025-01-01 01:07:00 PST,+9072.05+0j
2025-01-01 01:08:00 PST,+9072.06+0j
2025-01-01 01:09:00 PST,+9072.07+0j
2025-01-01 01:10:00 PST,+9072.08+0j
2025-01-01 01:11:00 PST,+9072.09+0j
2025-01-01 01:12:00 PST,+9072.1+0j
2025-01-01 01:13:00 PST,+9072.12+0j
2025-01-01 01:14:00 PST,+9072.13+0j
2025-01-01 01:15:00 PST,+9072.14+0j
2025-01-01 01:16:00 PST,+9072.16+0j
2025-01-01 01:17:00 PST,+9072.18+0j
2025-01-01 01:18:00 PST,+9072.19+0j
2025-01-01 01:19:00 PST,+9072.21+0j
2025-01-01 01:20:00 PST,+9072.23+0j
2025-01-01 01:21:00 PST,+9072.26+0j
2025-01-01 01:22:00 PST,+9072.28+0j
2025-01-01 01:23:00 PST,+9072.3+0j
2025-01-01 01:24:00 PST,+9072.33+0j
2025-01-01 01:25:00 PST,+9072.36+0j
2025-01-01 01:26:00 PST,+9072.39+0j
2025-01-01 01:27:00 PST,+9072.42+0j
2025-01-01 01:28:00 PST,+9072.45+0j
2025-01-01 01:29:00 PST,+9072.49+0j
2025-01-01 01:30:00 PST,+9072.52+0j
2025-01-01 01:31:00 PST,+9072.56+0j
2025-01-01 01:32:00 PST,+8983.18+0j
2025-01-01 01:33:00 PST,+8983.05+0j
2025-01-01 01:34:00 PST,+8982.92+0j
2025-01-01 01:35:00 PST,+8982.8+0j
2025-01-01 01:36:00 PST,+8982.68+0j
2025-01-01 01:37:00 PST,+8982.57+0j
2025-01-01 01:38:00 PST,+8982.46+0j
2025-01-01 01:39:00 PST,+8982.36+0j
2025-01-01 01:40:00 PST,+8982.26+0j
2025-01-01 01:41:00 PST,+8982.17+0j
2025-01-01 01:42:00 PST,+8982.08+0j
2025-01-01 01:43:00 PST,+8981.99+0j
2025-01-01 01:44:00 PST,+8981.91+0j
2025-01-01 01:45:00 PST,+8981.83+0j
2025-01-01 01:46:00 PST,+8981.75+0j
2025-01-01 01:47:00 PST,+8981.68+0j
2025-01-01 01:48:00 PST,+8981.61+0j
2025-01-01 01:49:00 PST,+8981.55+0j
2025-01-01 01:50:00 PST,+8981.48+0j
2025-01-01 01:51:00 PST,+8981.42+0j
2025-01-01 01:52:00 PST,+8981.37+0j
2025-01-01 01:53:00 PST,+8981.32+0j
2025-01-01 01:54:00 PST,+8981.27+0j
2025-01-01 01:55:00 PST,+8981.22+0j
2025-01-01 01:56:00 PST,+8981.17+0j
2025-01-01 01:57:00 PST,+8981.13+0j
2025-01-01 01:58:00 PST,+8981.09+0j
2025-01-01 01:59:00 PST,+8981.06+0j
2025-01-01 02:00:00 PST,+8981.02+0j
2025-01-01 02:01:00 PST,+8980.99+0j
2025-01-01 02:02:00 PST,+8979.97+0j
2025-01-01 02:03:00 PST,+8979.94+0j
2025-01-01 02:04:00 PST,+8979.92+0j
2025-01-01 02:05:00 PST,+8979.89+0j
2025-01-01 02:06:00 PST,+8979.87+0j
2025-01-01 02:07:00 PST,+8979.85+0j
2025-01-01 02:08:00 PST,+8979.84+0j
2025-01-01 02:09:00 PST,+8979.82+0j
2025-01-01 02:10:00 PST,+8979.81+0j
2025-01-01 02:11:00 PST,+8979.8+0j
2025-01-01 02:12:00 PST,+8979.79+0j
2025-01-01 02:13:00 PST,+8979.78+0j
2025-01-01 02:14:00 PST,+8979.77+0j
2025-01-01 02:15:00 PST,+8979.77+0j
2025-01-01 02:16:00 PST,+8979.77+0j
2025-01-01 02:17:00 PST,+8979.77+0j
2025-01-01 02:18:00 PST,+8979.77+0j
2025-01-01 02:19:00 PST,+8979.77+0j
2025-01-01 02:20:00 PST,+8979.77+0j
