# file...... ../results/residential_transformer.csv
# date...... Tue Jul  7 16:36:59 2026
# user...... deras
# host...... (null)
# target.... transformer 18
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,power_in,power_out
2025-01-01 00:00:00 PST,+5.00741e-05+5.00741e-05j,+0+0j
2025-01-01 00:01:00 PST,+5.00741e-05+5.00741e-05j,+0+0j
2025-01-01 00:02:00 PST,+111270+15402.6j,+108703+5.09317e-11j
2025-01-01 00:03:00 PST,+111274+15403.7j,+108707-0.0173312j
2025-01-01 00:04:00 PST,+104451+13519.7j,+102198+0.0143405j
2025-01-01 00:05:00 PST,+116000+16787.4j,+113202-0.0523756j
2025-01-01 00:06:00 PST,+102804+13084.7j,+100623+0.0248168j
2025-01-01 00:07:00 PST,+114029+16202.3j,+111328-0.0447124j
2025-01-01 00:08:00 PST,+97517.4+11740.5j,+95560.7+0.0209934j
2025-01-01 00:09:00 PST,+115883+16752.6j,+113091+1.74041e-08j
2025-01-01 00:10:00 PST,+110573+15203.8j,+108039+0.0171259j
2025-01-01 00:11:00 PST,+104811+13615.7j,+102542+0.0124102j
2025-01-01 00:12:00 PST,+92024.5+10426j,+90286.8+0.0105046j
2025-01-01 00:13:00 PST,+100858+12580.7j,+98760.9-0.0140028j
2025-01-01 00:14:00 PST,+105840+13892.4j,+103525-0.0113926j
2025-01-01 00:15:00 PST,+114391+16309.1j,+111673-0.0350159j
2025-01-01 00:16:00 PST,+101424+12726.3j,+99303+0.0220262j
2025-01-01 00:17:00 PST,+101179+12663.2j,+99068.4+0.0177792j
2025-01-01 00:18:00 PST,+90625.6+10104.5j,+88941.6+0.00771776j
2025-01-01 00:19:00 PST,+90140.3+9994.19j,+88474.6+0.0190801j
2025-01-01 00:20:00 PST,+104633+13568.2j,+102372-0.0300531j
2025-01-01 00:21:00 PST,+99631.4+12268.6j,+97586.6+0.00735786j
2025-01-01 00:22:00 PST,+71409.6+6220.52j,+70372.9+9.62063e-09j
2025-01-01 00:23:00 PST,+72106.5+6344.29j,+71049.2-0.00851754j
2025-01-01 00:24:00 PST,+77783.2+7399.97j,+76549.8-1.83463e-08j
2025-01-01 00:25:00 PST,+64233.3+5019.23j,+63396.8-7.27596e-12j
2025-01-01 00:26:00 PST,+73151.4+6532.27j,+72062.7+7.27596e-12j
2025-01-01 00:27:00 PST,+87008.3+9297.78j,+85458.6-0.00730317j
2025-01-01 00:28:00 PST,+87944.9+9503.22j,+86361-0.0322859j
2025-01-01 00:29:00 PST,+97499+11735.9j,+95543-0.0117531j
2025-01-01 00:30:00 PST,+103508+13269.7j,+101296-0.0116071j
2025-01-01 00:31:00 PST,+103511+13270.6j,+101300-0.0121784j
2025-01-01 00:32:00 PST,+80414.7+7918.2j,+79095+0.00709118j
2025-01-01 00:33:00 PST,+86495.8+9186.37j,+84964.7+2.98824e-08j
2025-01-01 00:34:00 PST,+89978.9+9957.63j,+88319.3+1.09139e-11j
2025-01-01 00:35:00 PST,+95242+11185.8j,+93377.7+3.63798e-12j
2025-01-01 00:36:00 PST,+95244.9+11186.5j,+93380.5-0.00786051j
2025-01-01 00:37:00 PST,+89525.8+9855.44j,+87883.2-4.18586e-08j
2025-01-01 00:38:00 PST,+80642.9+7963.98j,+79315.5-3.63798e-12j
2025-01-01 00:39:00 PST,+74348+6751.03j,+73222.8-2.36469e-11j
