Metric,Value
Total Electric Energy (kWh),115.53113857628995
Total Gas Energy (therms),28.004151146763583
Average Electric Power (kW),0.6876853486683926
Peak Electric Power (kW),3.3510270957498727
HVAC Cooling Electric Energy (kWh),8.149999999999999
HVAC Heating Electric Energy (kWh),25.222011130803317
Other Electric Energy (kWh),70.15103829173731
Lighting Electric Energy (kWh),12.008089153749307
HVAC Heating Gas Energy (therms),24.929864283728374
Water Heating Gas Energy (therms),3.074286863035211
Average Temperature - Indoor (C),20.880592504110286
Unmet Heating Load (C-hours),0.0
Unmet Cooling Load (C-hours),0.0
Total Hot Water Unmet Demand (kWh),0.0
