Metric,Value
Total Electric Energy (kWh),0.5441633927221474
Total Gas Energy (therms),5.07505140393385
Average Electric Power (kW),0.02267347469675614
Peak Electric Power (kW),1.1222049274358874
Other Electric Energy (kWh),9.78339941696132
HVAC Heating Electric Energy (kWh),4.795654292484694
HVAC Cooling Electric Energy (kWh),1.1999999999999997
Battery Electric Energy (kWh),-3.336721854516402
Lighting Electric Energy (kWh),2.259336655555277
PV Electric Energy (kWh),-14.157505117762742
Water Heating Gas Energy (therms),0.3349452306671262
HVAC Heating Gas Energy (therms),4.7401061732667245
Average Temperature - Indoor (C),20.686727232120106
Unmet Heating Load (C-hours),0.0
Unmet Cooling Load (C-hours),0.0
Total Hot Water Unmet Demand (kWh),0.0
