# file...... ochre_load.csv
# date...... Tue Oct 21 17:56:40 2025
# user...... midrar
# host...... (null)
# target.... triplex_load 20
# trigger... (none)
# interval.. 600
# limit..... 0
# timestamp,constant_power_12
2017-12-31 16:00:00 PST,+0+0j
2017-12-31 16:10:00 PST,+0+0j
2017-12-31 16:20:00 PST,+622.232+0j
2017-12-31 16:30:00 PST,+626.611+0j
2017-12-31 16:40:00 PST,+626.689+0j
2017-12-31 16:50:00 PST,+627.082+0j
2017-12-31 17:00:00 PST,+628.067+0j
2017-12-31 17:10:00 PST,+629.015+0j
2017-12-31 17:20:00 PST,+629.095+0j
2017-12-31 17:30:00 PST,+630.106+0j
2017-12-31 17:40:00 PST,+631.123+0j
2017-12-31 17:50:00 PST,+616.187+0j
2017-12-31 18:00:00 PST,+617.221+0j
2017-12-31 18:10:00 PST,+618.319+0j
2017-12-31 18:20:00 PST,+618.572+0j
2017-12-31 18:30:00 PST,+619.757+0j
2017-12-31 18:40:00 PST,+620.929+0j
2017-12-31 18:50:00 PST,+607.968+0j
2017-12-31 19:00:00 PST,+609.083+0j
2017-12-31 19:10:00 PST,+610.249+0j
2017-12-31 19:20:00 PST,+610.505+0j
2017-12-31 19:30:00 PST,+611.658+0j
2017-12-31 19:40:00 PST,+612.763+0j
2017-12-31 19:50:00 PST,+603.751+0j
2017-12-31 20:00:00 PST,+604.756+0j
2017-12-31 20:10:00 PST,+605.78+0j
2017-12-31 20:20:00 PST,+605.872+0j
2017-12-31 20:30:00 PST,+606.844+0j
2017-12-31 20:40:00 PST,+607.744+0j
2017-12-31 20:50:00 PST,+595.187+0j
2017-12-31 21:00:00 PST,+595.961+0j
2017-12-31 21:10:00 PST,+596.749+0j
2017-12-31 21:20:00 PST,+596.531+0j
2017-12-31 21:30:00 PST,+597.278+0j
2017-12-31 21:40:00 PST,+597.966+0j
2017-12-31 21:50:00 PST,+579.345+0j
2017-12-31 22:00:00 PST,+579.877+0j
2017-12-31 22:10:00 PST,+624.449+0j
2017-12-31 22:20:00 PST,+664.136+0j
2017-12-31 22:30:00 PST,+663.178+0j
2017-12-31 22:40:00 PST,+663.531+0j
2017-12-31 22:50:00 PST,+984.839+0j
2017-12-31 23:00:00 PST,+976.717+0j
2017-12-31 23:10:00 PST,+976.707+0j
2017-12-31 23:20:00 PST,+1122.89+0j
2017-12-31 23:30:00 PST,+1118.07+0j
2017-12-31 23:40:00 PST,+1117.96+0j
2017-12-31 23:50:00 PST,+1100.02+0j
2018-01-01 00:00:00 PST,+1099.83+0j
2018-01-01 00:10:00 PST,+1099.68+0j
2018-01-01 00:20:00 PST,+1114.76+0j
2018-01-01 00:30:00 PST,+1114.1+0j
2018-01-01 00:40:00 PST,+1113.92+0j
2018-01-01 00:50:00 PST,+1097.79+0j
2018-01-01 01:00:00 PST,+1097.15+0j
2018-01-01 01:10:00 PST,+1096.6+0j
2018-01-01 01:20:00 PST,+1098.54+0j
2018-01-01 01:30:00 PST,+1097.93+0j
2018-01-01 01:40:00 PST,+1097.39+0j
2018-01-01 01:50:00 PST,+1061.29+0j
2018-01-01 02:00:00 PST,+1058.35+0j
2018-01-01 02:10:00 PST,+1055.62+0j
2018-01-01 02:20:00 PST,+1048.65+0j
2018-01-01 02:30:00 PST,+1046.49+0j
2018-01-01 02:40:00 PST,+1044.28+0j
2018-01-01 02:50:00 PST,+1015.76+0j
2018-01-01 03:00:00 PST,+1013.12+0j
2018-01-01 03:10:00 PST,+1010.58+0j
2018-01-01 03:20:00 PST,+1010.84+0j
2018-01-01 03:30:00 PST,+1008.44+0j
2018-01-01 03:40:00 PST,+1006.19+0j
2018-01-01 03:50:00 PST,+662.862+0j
2018-01-01 04:00:00 PST,+669.031+0j
2018-01-01 04:10:00 PST,+667.127+0j
2018-01-01 04:20:00 PST,+671.445+0j
2018-01-01 04:30:00 PST,+669.418+0j
2018-01-01 04:40:00 PST,+667.645+0j
2018-01-01 04:50:00 PST,+664.96+0j
2018-01-01 05:00:00 PST,+664.499+0j
2018-01-01 05:10:00 PST,+663.76+0j
2018-01-01 05:20:00 PST,+661.866+0j
2018-01-01 05:30:00 PST,+660.971+0j
2018-01-01 05:40:00 PST,+660.012+0j
2018-01-01 05:50:00 PST,+665.469+0j
2018-01-01 06:00:00 PST,+663.769+0j
2018-01-01 06:10:00 PST,+662.341+0j
2018-01-01 06:20:00 PST,+654.711+0j
2018-01-01 06:30:00 PST,+653.798+0j
2018-01-01 06:40:00 PST,+652.793+0j
2018-01-01 06:50:00 PST,+636.998+0j
2018-01-01 07:00:00 PST,+634.88+0j
