Metric,Value
Total Electric Energy (kWh),6.696902010172979
Total Gas Energy (therms),0.6594659605429791
Average Electric Power (kW),0.5151463084748445
Peak Electric Power (kW),0.9574309483213308
Lighting Electric Energy (kWh),0.7682300541353524
HVAC Cooling Electric Energy (kWh),0.6500000000000001
Other Electric Energy (kWh),4.728982144839709
HVAC Heating Electric Energy (kWh),0.5496898111979168
Water Heating Gas Energy (therms),0.11614321279523132
HVAC Heating Gas Energy (therms),0.5433227477477478
Average Temperature - Indoor (C),20.254980419001843
Unmet Heating Load (C-hours),0.7251658851822692
Unmet Cooling Load (C-hours),0.0
Total Hot Water Unmet Demand (kWh),0.0
