,Battery Electric Power (kW),Total Electric Power (kW)
2018-01-01 00:00:00,0.0,0.0
2018-01-01 00:10:00,0.0,8.45017995891453
2018-01-01 00:20:00,0.0,8.421618375976292
2018-01-01 00:30:00,-6.45017995891453,2.1699099546752585
2018-01-01 00:40:00,-6.421618375976292,2.2859228592531324
2018-01-01 00:50:00,-6.620089913589789,1.8892225671757816
2018-01-01 01:00:00,-6.707541235229424,1.7411584800000863
2018-01-01 01:10:00,-6.509312480765571,1.9281755107979284
2018-01-01 01:20:00,-6.448699715229511,1.9974279431836335
2018-01-01 01:30:00,-1.3048023409914116,7.500746617790567
2018-01-01 01:40:00,-0.0002142595959468381,7.27684032164636
2018-01-01 01:50:00,-5.742030118078325e-12,7.020740619557417
2018-01-01 02:00:00,0.0,6.943494635820656
2018-01-01 02:10:00,0.0,6.93124751052169
2018-01-01 02:20:00,0.0,6.942686865247096
2018-01-01 02:30:00,0.0,6.961576077561619
2018-01-01 02:40:00,0.0,6.559263467232432
2018-01-01 02:50:00,0.0,6.582002124075199
2018-01-01 03:00:00,0.0,6.607130095330205
2018-01-01 03:10:00,0.0,6.630840381295937
2018-01-01 03:20:00,0.0,6.657656978945453
2018-01-01 03:30:00,0.0,6.6837168260857025
2018-01-01 03:40:00,0.0,6.415403901403925
2018-01-01 03:50:00,0.0,6.439645154464059
2018-01-01 04:00:00,0.0,6.464742038563662
2018-01-01 04:10:00,0.0,6.486806052354529
2018-01-01 04:20:00,0.0,6.511674311508492
2018-01-01 04:30:00,0.0,6.534286308040424
2018-01-01 04:40:00,0.0,6.120043502352559
2018-01-01 04:50:00,0.0,6.139577171774395
2018-01-01 05:00:00,0.0,6.159685653157604
2018-01-01 05:10:00,0.0,6.361178920125748
2018-01-01 05:20:00,0.0,6.6458016374057465
2018-01-01 05:30:00,0.0,6.592370235276534
2018-01-01 05:40:00,0.0,5.796668609002141
2018-01-01 05:50:00,0.0,5.735685256984133
2018-01-01 06:00:00,0.0,5.808653891133762
2018-01-01 06:10:00,0.0,5.846123552789737
2018-01-01 06:20:00,0.0,5.807917620401241
2018-01-01 06:30:00,0.0,5.810967492876048
2018-01-01 06:40:00,0.0,6.043106241759991
2018-01-01 06:50:00,0.0,5.798713231407785
2018-01-01 07:00:00,0.0,5.794232061933628
2018-01-01 07:10:00,0.0,6.084152283660611
2018-01-01 07:20:00,0.0,5.939079371088986
2018-01-01 07:30:00,0.0,5.933500012498954
2018-01-01 07:40:00,0.0,5.3641920257714935
2018-01-01 07:50:00,0.0,5.352566027319949
2018-01-01 08:00:00,0.0,5.342811922725963
2018-01-01 08:10:00,0.0,5.361521793355925
2018-01-01 08:20:00,0.0,5.336405029395202
2018-01-01 08:30:00,0.0,5.323959250417261
2018-01-01 08:40:00,0.0,4.274079128590423
2018-01-01 08:50:00,0.0,4.20498355142395
2018-01-01 09:00:00,0.0,4.153039651523038
2018-01-01 09:10:00,0.0,4.110555047923844
2018-01-01 09:20:00,0.0,4.06527092018204
2018-01-01 09:30:00,0.0,4.023794689435016
2018-01-01 09:40:00,0.0,1.807697436122565
2018-01-01 09:50:00,0.0,1.5722831711224605
2018-01-01 10:00:00,0.0,1.3548683997871167
2018-01-01 10:10:00,0.0,1.143020106514494
2018-01-01 10:20:00,0.0,0.9542997265911679
2018-01-01 10:30:00,0.0,0.7733564581566005
2018-01-01 10:40:00,0.0,-0.14029728621440607
2018-01-01 10:50:00,0.0,-0.25738686380298126
2018-01-01 11:00:00,0.0,-0.46477889460094857
2018-01-01 11:10:00,0.0,-0.6584555266118455
2018-01-01 11:20:00,0.0,-0.8204218348287928
2018-01-01 11:30:00,0.0,-0.8943157900587739
2018-01-01 11:40:00,0.0,-2.251913218354472
2018-01-01 11:50:00,0.0,-2.238407830934121
2018-01-01 12:00:00,0.2519132183544719,-2.1725432433301277
2018-01-01 12:10:00,0.2384078309341211,-2.3438433078467247
2018-01-01 12:20:00,0.4244564616845996,-2.2873352482223765
2018-01-01 12:30:00,0.5822511387808458,-2.236085195328167
2018-01-01 12:40:00,0.7117917099069762,-1.2089671601557583
2018-01-01 12:50:00,0.8183363341090129,-1.159650556815504
2018-01-01 13:00:00,0.0,-2.032940802821167
2018-01-01 13:10:00,0.0,-2.0872006421142295
2018-01-01 13:20:00,0.03294080282116685,-2.1025157833680765
2018-01-01 13:30:00,0.08720064211422951,-2.093398843969392
2018-01-01 13:40:00,0.1354565861892434,-2.413391675221443
2018-01-01 13:50:00,0.1805994860836213,-2.398098705815306
2018-01-01 14:00:00,0.5488482614106864,-2.051845242687934
2018-01-01 14:10:00,0.5786981918989271,-1.9805497411860584
2018-01-01 14:20:00,0.6006935040986203,-1.900847324945298
2018-01-01 14:30:00,0.5592479330849853,-1.9852910534063195
2018-01-01 14:40:00,0.5015408290439183,-0.9383386237304119
2018-01-01 14:50:00,0.5445389864913048,-0.9155053943513074
2018-01-01 15:00:00,0.0,-1.4763907738006872
2018-01-01 15:10:00,0.0,-1.446212747664238
2018-01-01 15:20:00,0.0,-1.4848201493727176
2018-01-01 15:30:00,0.0,-1.5237875122572508
2018-01-01 15:40:00,0.0,-0.5290350423600103
2018-01-01 15:50:00,0.0,-0.46471355139063614
2018-01-01 16:00:00,0.0,-0.3939009575384454
2018-01-01 16:10:00,0.0,-0.145216912687622
2018-01-01 16:20:00,0.0,0.0669220416270988
2018-01-01 16:30:00,0.0,0.4904542038063288
2018-01-01 16:40:00,0.0,2.2023569305972646
2018-01-01 16:50:00,0.0,2.4645208048594043
2018-01-01 17:00:00,-0.20235693059726456,2.859004917045949
2018-01-01 17:10:00,-0.4645208048594043,2.5951926711846047
2018-01-01 17:20:00,-1.0613618476432136,1.931907898877744
2018-01-01 17:30:00,-1.059713476044009,2.160735061459654
2018-01-01 17:40:00,-0.9932697465209577,2.458510898534648
2018-01-01 17:50:00,-1.2204485375036631,2.132193753311157
2018-01-01 18:00:00,-1.3728332838582715,2.117645629904386
2018-01-01 18:10:00,-0.00023726069286392565,3.357592960578579
2018-01-01 18:20:00,-7.041131954747611e-12,3.5163226487535955
2018-01-01 18:30:00,0.0,3.382887194281162
2018-01-01 18:40:00,0.0,3.6678141762922984
2018-01-01 18:50:00,0.0,3.713750385719525
2018-01-01 19:00:00,0.0,3.65045928001093
2018-01-01 19:10:00,0.0,3.570824013101839
2018-01-01 19:20:00,0.0,3.561036317668093
2018-01-01 19:30:00,0.0,3.6459863582385474
2018-01-01 19:40:00,0.0,3.7008639071392255
2018-01-01 19:50:00,0.0,3.664997872511834
2018-01-01 20:00:00,0.0,4.028895218524784
2018-01-01 20:10:00,0.0,3.887039889456793
2018-01-01 20:20:00,0.0,3.999625744832588
2018-01-01 20:30:00,0.0,3.9524772689352945
2018-01-01 20:40:00,0.0,4.009171530783407
2018-01-01 20:50:00,0.0,4.075284969329951
2018-01-01 21:00:00,0.0,4.022507428152855
2018-01-01 21:10:00,0.0,3.84593216713181
2018-01-01 21:20:00,0.0,3.866815063110411
2018-01-01 21:30:00,0.0,4.114604126674533
2018-01-01 21:40:00,0.0,4.092220194463236
2018-01-01 21:50:00,0.0,3.9737375675770625
2018-01-01 22:00:00,0.0,3.939723364025097
2018-01-01 22:10:00,0.0,3.809248225408703
2018-01-01 22:20:00,0.0,3.844254118693338
2018-01-01 22:30:00,0.0,3.8513840354079565
2018-01-01 22:40:00,0.0,3.8683554614141356
2018-01-01 22:50:00,0.0,3.876285380273874
2018-01-01 23:00:00,0.0,3.885021650798357
2018-01-01 23:10:00,0.0,3.6861870465968325
2018-01-01 23:20:00,0.0,3.748193593124462
2018-01-01 23:30:00,0.0,3.757974306617921
2018-01-01 23:40:00,0.0,4.063423126451854
2018-01-01 23:50:00,0.0,4.3439403802856305
