trial,cluster_index,cluster_size_houses,cluster_peak_kw,cluster_required_kva,chosen_transformer_kva
0,1,3,14.692593154547012,16.325103505052237,25.0
0,2,1,5.16711617920152,5.7412401991128,25.0
0,3,5,21.69658683711953,24.107318707910586,25.0
0,4,1,12.184125778368546,13.537917531520607,25.0
0,5,3,19.180428794753574,21.311587549726195,25.0
0,6,3,10.344076720237192,11.493418578041323,25.0
0,7,5,31.53098770731926,35.03443078591029,50.0
0,8,3,57.47058352117091,63.85620391241212,75.0
0,9,6,39.26478970919695,43.62754412132994,50.0
0,10,1,5.750072799305554,6.388969777006171,25.0
0,11,2,17.65361813013257,19.615131255702856,25.0
0,12,2,13.808773156366854,15.34308128485206,25.0
0,13,3,11.423114096544026,12.692348996160028,25.0
0,14,1,7.392799515261255,8.214221683623617,25.0
0,15,3,12.67236897634917,14.080409973721299,25.0
0,16,3,27.709213978405845,30.78801553156205,50.0
0,17,4,45.19605917186385,50.217843524293166,75.0
0,18,4,34.53350026451946,38.370555849466065,50.0
0,19,2,21.429069085156872,23.810076761285412,25.0
0,20,3,14.078353940870405,15.642615489856006,25.0
0,21,2,11.522834972056005,12.803149968951116,25.0
1,1,2,18.995575158670526,21.10619462074503,25.0
1,2,1,3.323657431287463,3.692952701430514,25.0
1,3,4,15.407466066293653,17.11940674032628,25.0
1,4,6,58.85199832143952,65.39110924604391,75.0
1,5,2,14.74967684397335,16.388529826637058,25.0
1,6,2,45.88580629102122,50.98422921224579,75.0
1,7,6,24.42689930645906,27.140999229398954,50.0
1,8,1,14.221878965422984,15.802087739358871,25.0
1,9,4,22.137055972992403,24.596728858880446,25.0
1,10,4,15.09780164548786,16.775335161653178,25.0
1,11,3,30.157530881933862,33.50836764659318,50.0
1,12,3,16.609130550230134,18.454589500255704,25.0
1,13,1,7.922563710971249,8.802848567745832,25.0
1,14,6,38.51499502936716,42.79443892151906,50.0
1,15,1,1.0881687818556849,1.2090764242840943,25.0
1,16,1,13.917712112415307,15.464124569350341,25.0
1,17,6,27.963487444150292,31.070541604611435,50.0
1,18,3,38.860868966134994,43.17874329570555,50.0
1,19,3,24.546216327201538,27.273573696890598,50.0
1,20,1,6.562501267766619,7.291668075296243,25.0
