trial,n_total_customers,uf_target,pf,cluster_min,cluster_max,n_clusters,n_25kva,n_50kva,n_75kva,n_oversize_clusters,installed_kva_total,sum_cluster_peak_kw
0,60,0.8,0.9,1,6,21,15,4,2,0,725.0,434.7010664887463
1,60,0.8,0.9,1,6,20,12,6,2,0,750.0,439.2409910750748
2,60,0.8,0.9,1,6,16,9,6,1,0,600.0,376.9048418340648
3,60,0.8,0.9,1,6,20,15,5,0,0,625.0,370.04439416142316
4,60,0.8,0.9,1,6,18,11,7,0,0,625.0,355.1047028402747
5,60,0.8,0.9,1,6,19,12,7,0,0,650.0,376.74097417419546
6,60,0.8,0.9,1,6,20,13,6,1,0,700.0,391.70462546487073
7,60,0.8,0.9,1,6,15,8,7,0,0,550.0,348.72486841375394
8,60,0.8,0.9,1,6,18,12,6,0,0,600.0,329.3944248473343
9,60,0.8,0.9,1,6,17,11,5,1,0,600.0,390.27510153419655
10,60,0.8,0.9,1,6,18,11,7,0,0,625.0,380.1399666617206
11,60,0.8,0.9,1,6,19,12,6,1,0,675.0,390.0418398706421
12,60,0.8,0.9,1,6,20,16,3,1,0,625.0,353.53060161442005
13,60,0.8,0.9,1,6,19,12,7,0,0,650.0,348.5544830871227
14,60,0.8,0.9,1,6,19,11,7,1,0,700.0,390.9843927177718
